cstar_lo,cstar_hi,cstar_mid,alpha,rmse,n
0.1,0.2,0.15000000000000002,9488.118631964187,0.014170885939609794,12726
0.2,0.3,0.25,7323.247702006463,0.016810471533743942,12905
0.3,0.4,0.35,7512.310626019609,0.02424053878614674,12818
0.4,0.5,0.45,6915.590270097167,0.03133505204365397,12881
0.5,0.6,0.55,6120.384179469786,0.039309573474483384,13163
0.6,0.7,0.6499999999999999,5668.703301901279,0.04607524299805018,12499
0.7,0.8,0.75,5367.443128081158,0.053736819104858544,12442
0.8,0.9,0.8500000000000001,4353.489901142166,0.06059388295697982,12056
0.9,1.01,0.9550000000000001,3916.818986388681,0.06989120949913068,11209
